TP53
PIK3CD
PAWR
ETV1
EED
HEY1
PIK3CB
TGFBRAP1
SIAH2
SH3GL1
KLF4
FNBP1
TWIST1
LASP1
CIITA
PTGS2
TRPV6
NSD1
SH2B3
IRF1
CCND2
ING4
PPP1R1B
ABL2
FUBP1
FHIT
METAP2
PDGFB
BAG3
COL1A2
MRE11A
CDT1
CITED2
RNF7
PICALM
MPL
TXN
SFPQ
RAP1GAP
DDB2
S100A1
ESRRG
PPP1R13L
ELL
MSH2
AXIN2
FGFR2
MVP
NACA
ASH2L
BIRC3
ICAM1
CTCF
CHD4
NKX2-5
H2AFX
QKI
DYRK1B
NCOA4
PKM2
USF1
CDC73
S100A7
PDCD6
GPHN
MYBBP1A
AIFM1
ARHGAP5
TAF15
MERTK
CARD11
BUB1B
SND1
ASCL1
GRN
NOTCH3
CTSL1
XPA
SIRPA
CTSB
ALOX5
CRTC2
NFKBIE
FANCG
PPP2R4
PAX2
S100A10
COL2A1
MMP9
RECQL5
PAX8
PBX1
AREG
THY1
CRYAB
BMPR1A
S100A2
SS18L1
ADAM17
TRIO
ARHGEF12
MAPK13
SOCS2
TNF
IL2
FOXM1
FLI1
NQO1
GOPC
SF3B1
MSH6
FBLN2
PTPN7
SNCG
E2F3
RASSF5
DNAJB1
DDR2
STARD13
SS18
ING2
EIF3F
MAP4
RAP1GDS1
HERPUD1
PTPRK
TRA
TNC
GNA11
HOXA13
PRDX1
N4BP2
HUS1
PLAGL1
XPC
PTPN21
DUSP6
WDR77
ERCC5
HNRNPA2B1
RAP1B
CKS2
PTK6
CARD8
IRF4
CBFA2T3
MLLT3
PPM1D
POU2AF1
ADAM9
ERG
BCLAF1
MYCN
NOV
VCAN
NF1
MAFA
AKT3
SPOP
KTN1
CUL3
ANK1
ROS1
PRDM2
RAC3
POU4F1
ERCC2
PPFIBP1
RHOH
LIG1
GNAS
AGAP2
ROBO1
PTCH1
NUMA1
BTG1
POLD1
RRM1
HGF
B2M
SDC1
ALDH2
TRIAP1
ERC1
GUCY2C
ALOX12
DUSP10
POLE
MKL1
HOXD13
MAML2
CNOT3
STAG1
IER3
ENO1
FSTL3
TRPV1
GATA6
PLXNB1
ELF4
MELK
DDX1
TGFBR3
PCM1
ERRFI1
CHFR
AKAP12
LTA
OLIG2
ARHGAP26
CIC
PAFAH1B2
PAX3
TCL1A
PLCD1
BAZ1A
CYLD
CCR2
KITLG
CDKN2B
ZNF521
TBL1XR1
TTF1
EBF1
IL3RA
SIX1
MLF1
IL1B
WWTR1
S100A9
MTCP1
ELAVL1
PTPRB
FCER2
GATA3
CITED4
GADD45GIP1
LHCGR
MALT1
TP53INP1
KIAA1549
U2AF1
SEPT2
TAL2
ELK4
HRK
RPN1
SLC39A1
RPL10
VRK1
MYST3
PTHLH
CLIC4
RBM10
CDK12
EIF3C
PSIP1
CKS1B
PDX1
COL3A1
CLTCL1
NEU3
TFRC
ZBTB7A
E2F6
RAGE
SETD2
GABBR1
GRM3
PER1
HOXA11
SEPT5
LATS1
LCP1
MXI1
MAP3K1
LPP
ELN
BNIP3
ROBO2
IL6
SMYD3
CENPF
TRB
LRP5
HLF
HTRA1
ENC1
PLAG1
LYL1
AFF4
ETV4
TCL1B
BCL9
TFPT
ZFHX3
IGF2R
IL3
S100P
FOXA1
SELP
THRAP3
BRD4
SMYD2
JAG2
PRDM1
HIC1
OTX2
PTPRD
CD74
RAD17
MAPK4
P2RX7
TAGLN
JAG1
POLH
ANG
MYBL1
MED12
MYO5A
DEFB1
BBC3
TNFRSF17
TNFRSF11B
AGER
MUTYH
RHOB
MIER1
ELAC2
PRRX1
DEK
GZMA
ZNF384
AKR1C3
MAPK6
LRP1B
H3F3B
TLX1
RAD21
CLIC1
ARID1B
TRIP11
NRG1
FBXO11
ACVR2A
TRAF7
HP
DMTF1
CBFB
TMPRSS3
PEG3
CLIP1
ERCC4
NR4A3
ABCB1
SEPT9
DKK1
TACC1
UBD
SDHAF2
TAC1
TFF1
SHC4
ADAM10
MYST4
PLCB2
MLLT6
TCEA1
CDH10
AFF1
CCDC6
TNKS
FANCE
PPP6C
CHIC2
CRLF2
TGFBI
ID4
MAFB
MAP3K13
MN1
EP400
MTA3
EGLN1
SOX4
GLMN
PDCD4
MAPRE1
FANCF
CDH11
GFI1
CD151
ZBTB33
MBD4
TIMP2
NRF1
SNAI1
PLA2G2A
ETV5
DDX3X
DDC
CCR4
MST1
FAM46C
REST
TCTA
C2orf44
NKX3-1
RHOC
CSTA
CD53
SPINT1
TNFSF10
FRYL
CNTNAP2
MUC4
IGF2BP1
RECQL
SEMA4D
PRPF40B
ATF5
ARID2
ZFP36L1
CRTC3
CRTC1
CRNKL1
NLRC4
CLDN4
EIF3A
ADD3
TACC3
ECM1
PDZK1IP1
GPNMB
MINA
FGF8
SOX2
IL21R
DKC1
BCL11B
RSF1
DLC1
BCL9L
ARHGEF10L
PBRM1
ALDOB
SEMA3F
IDH1
KDM6A
CD209
BRIP1
BAP1
DSG2
LMO1
EPHA7
NT5C2
FOXP1
PRF1
ARMCX2
PVRL4
RASSF2
CASC5
FOXP3
CDA
KEAP1
FOXL2
SIX2
NBEA
PREX2
TNFRSF6B
DAB2IP
MSH3
HTATIP2
S100A13
GOLGA5
LGALS2
STIL
FST
GAST
RNF139
WNK2
TPM4
ADAMTS1
CCNB1IP1
DICER1
ERCC8
RAP2B
KIAA1524
NPY
MMP11
DRG1
EIF1AX
TFEB
GPC3
RAD51L3
PARVB
SLC6A2
SSX4
FAM135B
AMFR
CLDN7
CREB3L1
ARID1A
GLI1
RASL11B
NRCAM
IGSF8
PRKAB1
ARMCX3
STAR
SRGAP3
LPAR1
KIAA1967
FAT4
SPINK7
SCAF1
SEPT6
TPD52
PTPRG
ZRSR2
THBS2
EML4
GAS7
PDE4DIP
MLLT10
ZCCHC8
MLLT1
BRE
RBP3
CSTB
EXT2
DMP1
CSN2
LOX
STOML2
IKZF2
BCL11A
PRL
SAV1
HYAL2
PYY
NFIB
DENR
PAX9
KIF14
CACNA1D
FAT1
KLRK1
ITGA11
UBE2C
RBM5
SHH
AMOT
LIMD1
SMAP1
SAG
POT1
BOK
MTR
KLK4
FAU
TRIM33
HOOK3
GMPS
EIF4A2
ZNRF3
KLK10
LOXL4
A1CF
TRD
NAB2
PEG10
MACROD1
PALB2
CCNC
EBAG9
RPL22
IDO1
SUZ12
ASXL2
ROR2
XAF1
RPL26
OPCML
CASC3
LATS2
DDX6
HSPBAP1
MPP2
GHRL
PTTG1IP
BCL2L12
EXT1
HLTF
LZTR1
MUC2
TRPM2
CXCR3
MYH11
COX6C
ERCC1
SEMA3B
MRC1
SETBP1
ACSL3
BMP5
CTNNA2
USP6
JAZF1
EEF1A2
HOXC13
ASPM
TNFSF15
XRCC3
CARS
TSPAN1
CLP1
GLTSCR2
WISP2
HFE
PMS2
MUC16
PRCC
FAM57A
FGFR1OP
ADAM23
GBP1
IL23A
SOX11
CTSH
PLAGL2
SDHB
IL21
LPHN2
NET1
PRRX2
STAG2
IDH2
IL22
SMO
NPY1R
SIPA1
MIB2
IGF2BP2
PMS1
NEIL1
BAALC
CCL28
NDRG2
SRA1
MTUS1
WNT5A
CCR7
VTCN1
TBX2
KLK5
KCNH1
NMB
SSX2
CBX7
OLFM4
PTCH2
FANCB
SLC16A3
SLC16A1
RLN2
RECQL4
PRDM16
BCL7A
ARC
NKX2-2
NTHL1
ERVWE1
DIO2
SPA17
TLX3
ABCB5
CNBP
BACH2
CD97
TNFSF18
ADIPOR1
BRD3
POLG
LGI1
LYPD3
CD200
PTPRT
ASNS
CHKA
ZNF146
DMBT1
VTI1A
KIAA1598
KCNJ5
DLX4
NAT2
PAX7
NAT1
AAMP
RPS27
FOXE1
HOXD11
MTHFR
IL17A
MUC6
TMSB10
DGCR8
TYMP
TRPM1
TMPRSS2
THRSP
RGS17
TFF3
TFF2
TRG
TBX3
CDH13
RBP2
GIF
GPR26
ACSL6
MUC13
LOXL3
FIP1L1
GGH
GDF15
FH
IL22RA1
ANLN
CANT1
LEPROTL1
ATIC
KLRG1
CCR9
DBC1
CD274
CAPG
BOP1
APLNR
